1-dodecanol,"ghs07.png,ghs09.png"
"1,4-dichlorobenzene","ghs07.png,ghs08.png"
2-mercaptoethanol,"ghs05.png,ghs06.png,ghs07.png,ghs08.png,ghs09.png"
4-nitroacetanilide,ghs07.png
acetone,"ghs02.png,ghs07.png,ghs08.png"
acetone,"ghs02.png,ghs07.png,ghs08.png"
acetone,"ghs02.png,ghs07.png,ghs08.png"
aluminum chloride,ghs05.png
aluminum hydroxide,ghs07.png
aluminum nitrate,ghs05.png
aluminum pellets,
aluminum potassium sulfate,ghs07.png
aluminum powder,ghs02.png
aluminum shot,
aluminum shot,
aluminum sulfate,ghs05.png
ammonium chloride,"ghs07.png,ghs08.png"
ammonium dichromate,"ghs03.png,ghs05.png,ghs06.png,ghs07.png,ghs08.png,ghs09.png"
ammonium hydroxide,"ghs05.png,ghs07.png,ghs09.png"
ammonium molybdate,ghs07.png
ammonium nitrate,"ghs03.png,ghs07.png"
ammonium oxalate,"ghs07.png,ghs08.png"
ammonium thiocyanate,
barium chloride,ghs07.png
barium hydroxide,"ghs05.png,ghs07.png"
barium nitrate,"ghs03.png,ghs06.png,ghs07.png"
barium sulfate,
benzoic acid,ghs07.png
benzophenone,ghs09.png
boric acid,"ghs07.png,ghs08.png"
calcium acetate,ghs07.png
calcium carbonate,
calcium chloride,ghs07.png
calcium fluoride,ghs07.png
calcium hydroxide,"ghs05.png,ghs07.png"
calcium hydroxide,"ghs05.png,ghs07.png"
calcium metal,ghs02.png
calcium nitrate,"ghs05.png,ghs07.png"
calcium oxide,"ghs05.png,ghs07.png"
carbon dioxide gas,ghs04.png
citric acid,
cobalt chloride,"ghs07.png,ghs08.png,ghs09.png"
cobalt chloride,"ghs07.png,ghs08.png,ghs09.png"
copper shot,
copper shot,
cupric acetate,"ghs05.png,ghs07.png,ghs09.png"
cupric chloride,"ghs05.png,ghs07.png,ghs09.png"
cupric chloride,"ghs05.png,ghs07.png,ghs09.png"
cupric nitrate,"ghs03.png,ghs05.png,ghs07.png,ghs09.png"
cupric oxide,"ghs07.png,ghs09.png"
cupric sulfate,"ghs07.png,ghs08.png,ghs09.png"
cupric sulfate pentahydrate,"ghs05.png,ghs07.png,ghs09.png"
cuprous chloride,"ghs07.png,ghs09.png"
DMSO,
ethanol,"ghs02.png,ghs07.png,ghs08.png"
ethanol,"ghs02.png,ghs07.png,ghs08.png"
ethidium bromide,"ghs06.png,ghs07.png,ghs08.png"
ethyl acetate,"ghs02.png,ghs07.png"
ethyl alcohol,"ghs02.png,ghs07.png,ghs08.png"
ethylene glycol,"ghs07.png,ghs08.png"
ferric ammonium citrate,ghs07.png
ferric chloride,"ghs05.png,ghs07.png"
ferric nitrate,ghs07.png
ferrous chloride,"ghs05.png,ghs07.png"
ferrous sulfate,ghs07.png
ferrous sulfate,ghs07.png
fluorescein,ghs07.png
fluorescein,ghs07.png
fumaric acid,ghs07.png
glacial acetic acid,"ghs02.png,ghs05.png"
graphite powder,ghs07.png
helium,ghs04.png
hexanes,"ghs02.png,ghs07.png,ghs08.png,ghs09.png"
hexanes,"ghs02.png,ghs07.png,ghs08.png,ghs09.png"
hexanes,"ghs02.png,ghs07.png,ghs08.png,ghs09.png"
hydrochloric acid,"ghs05.png,ghs07.png,ghs08.png"
hydrogen gas,ghs02.png
hydrogen peroxide,ghs07.png
hydrogen peroxide,ghs07.png
"hydrogen peroxide, 3%",
"hydrogen peroxide, 30%","ghs03.png,ghs05.png,ghs07.png"
hydroxylammonium chloride,"ghs05.png,ghs07.png,ghs08.png,ghs09.png"
iodine,"ghs05.png,ghs07.png,ghs08.png,ghs09.png"
iron filings,
iron filings,
isopropanol,"ghs02.png,ghs07.png,ghs08.png"
isopropanol,"ghs02.png,ghs07.png,ghs08.png"
isopropanol,"ghs02.png,ghs07.png,ghs08.png"
lauric acid,ghs05.png
lead nitrate,ghs07.png
lead shot,ghs08.png
lithium chloride,ghs07.png
lithium nitrate,"ghs03.png,ghs07.png"
lycopodium,ghs02.png
magnesium hydroxide,ghs07.png
magnesium ribbon,ghs02.png
magnesium sulfate,
magnesium sulfate,
maleic acid,ghs07.png
manganese dioxide,ghs07.png
manganese dioxide,ghs07.png
manganese sulfate,"ghs05.png,ghs07.png,ghs08.png,ghs09.png"
methanol,"ghs02.png,ghs06.png,ghs08.png"
methyl alcohol,"ghs02.png,ghs06.png,ghs08.png"
methylene blue,ghs07.png
n-butanol,"ghs02.png,ghs05.png,ghs07.png"
n-propanol,"ghs02.png,ghs07.png"
naphthalene,"ghs02.png,ghs07.png,ghs08.png,ghs09.png"
nickel shot,"ghs07.png,ghs08.png"
ninhydrin,ghs07.png
ninhydrin,ghs07.png
nitric acid,"ghs03.png,ghs05.png"
petroleum ether,"ghs02.png,ghs08.png"
petroleum ether,"ghs02.png,ghs08.png"
phenol,"ghs05.png,ghs06.png,ghs07.png,ghs08.png,ghs09.png"
phenolphthalein,ghs08.png
phosphoric acid,"ghs05.png,ghs07.png"
polyvinyl alcohol,
potassium bisulfate,"ghs05.png,ghs07.png"
potassium bisulfite,ghs05.png
potassium bitartrate,
potassium bitartrate,
potassium bromide,ghs07.png
potassium bromide,ghs07.png
potassium chlorate,"ghs03.png,ghs07.png,ghs09.png"
potassium chloride,ghs07.png
potassium chromate,"ghs06.png,ghs07.png,ghs08.png,ghs09.png"
potassium dichromate,"ghs03.png,ghs05.png,ghs06.png,ghs07.png,ghs08.png,ghs09.png"
potassium ferricyanide,
potassium ferrocyanide,ghs07.png
potassium hydrogen phthalate,ghs07.png
potassium hydroxide,"ghs05.png,ghs07.png"
potassium iodate,"ghs03.png,ghs05.png,ghs07.png"
potassium iodide,ghs08.png
potassium iodide,ghs08.png
potassium nitrate,ghs07.png
potassium oxalate,ghs07.png
potassium permanganate,ghs07.png
potassium permanganate,ghs07.png
"potassium phosphate, dibasic",
"potassium phosphate, monobasic",ghs07.png
potassium sodium tartrate,ghs07.png
potassium sulfate,ghs09.png
potassium thiocyanate,ghs07.png
potassium thiocyanate,ghs07.png
salicylic acid,"ghs05.png,ghs07.png"
silver nitrate,"ghs03.png,ghs05.png,ghs07.png,ghs08.png,ghs09.png"
sodium acetate,
sodium bicarbonate,ghs06.png
sodium bicarbonate,ghs06.png
sodium bisulfate,ghs05.png
sodium bisulfite,ghs07.png
sodium borate,"ghs07.png,ghs08.png"
sodium borate,"ghs07.png,ghs08.png"
sodium bromide,
sodium carbonate,ghs07.png
sodium carbonate,ghs07.png
sodium chlorate,"ghs03.png,ghs07.png,ghs08.png,ghs09.png"
sodium chloride,
sodium chromate,"ghs05.png,ghs06.png,ghs07.png,ghs08.png,ghs09.png"
sodium citrate,"ghs05.png,ghs07.png"
sodium dichromate,ghs07.png
sodium fluoride,"ghs06.png,ghs07.png"
sodium hydroxide,"ghs05.png,ghs07.png"
sodium hydroxide,"ghs05.png,ghs07.png"
sodium iodide,"ghs07.png,ghs09.png"
sodium iodide,"ghs07.png,ghs09.png"
sodium metal,"ghs02.png,ghs05.png"
sodium nitrate,"ghs03.png,ghs07.png,ghs08.png"
sodium nitrate,"ghs03.png,ghs07.png,ghs08.png"
sodium nitrite,"ghs03.png,ghs06.png,ghs07.png,ghs08.png,ghs09.png"
sodium oxalate,ghs07.png
sodium phosphate,ghs07.png
sodium phosphate,ghs07.png
sodium polyacrylate,
sodium salicylate,ghs07.png
sodium sulfate,
sodium sulfite,ghs07.png
sodium thiocyanate,"ghs07.png,ghs08.png"
sodium thiosulfate,
sodium thiosulfate anhydrous,
sodium thiosulfate pentahydrate,
stannic chloride,ghs05.png
stannous chloride,"ghs05.png,ghs07.png,ghs08.png,ghs09.png"
stearic acid,
stearic acid,
strontium chloride,ghs07.png
strontium chloride,ghs07.png
strontium nitrate,"ghs03.png,ghs07.png,ghs08.png"
sulfur,ghs07.png
sulfur,ghs07.png
sulfuric acid,"ghs05.png,ghs07.png"
tartaric acid,ghs05.png
tert-butyl alcohol,"ghs02.png,ghs07.png"
thermit,ghs02.png
thermit kit,ghs02.png
tin,
toluene,"ghs02.png,ghs07.png,ghs08.png"
urea,
zinc,ghs09.png
zinc,ghs09.png
zinc carbonate,"ghs05.png,ghs07.png,ghs09.png"
zinc carbonate,"ghs05.png,ghs07.png,ghs09.png"
zinc chloride,"ghs05.png,ghs07.png,ghs09.png"
zinc dust,ghs02.png
zinc nitrate,ghs07.png
zinc oxide,ghs09.png
zinc sulfate,ghs07.png
zinc sulfate,ghs07.png
zinc sulfide,ghs07.png
2-propanol,"ghs02.png,ghs07.png"
2-propanol,"ghs02.png,ghs07.png"
caffeine,ghs07.png
barium chloride dihydrate,"ghs06.png,ghs07.png"
universal indicator,ghs02.png
isopropyl alcohol,"ghs02.png,ghs07.png"
vinegar,
acetic acid,"ghs02.png,ghs05.png"
zinc mossy,ghs09.png
zinc mossy,ghs09.png
zinc shot,ghs07.png
zinc shot,ghs07.png
glycerol,ghs07.png
glycerol,ghs07.png
copper(II) chloride,"ghs06.png,ghs07.png,ghs08.png,ghs09.png"
copper(II) chloride,"ghs06.png,ghs07.png,ghs08.png,ghs09.png"
strontium chloride hexahydrate,"ghs05.png,ghs07.png"
lithium chloride anhydrous,ghs07.png
calcium chloride dihydrate,ghs07.png
sodium benzoate,ghs07.png
pepsin,"ghs07.png,ghs08.png"
talc,"ghs07.png,ghs08.png"
crystal violet solution,ghs08.png
malachite green solution,
phenolphthalein solution,"ghs02.png,ghs08.png"
sodium hydroxide solution,ghs05.png
copper(II) bromide solution,
phenolphthalein solution,"ghs02.png,ghs08.png"
potassium iodide solution,ghs08.png
sodium chloride solution,
starch solution,
adipic acid,ghs07.png
aluminum,ghs07.png
copper(II) sulfate pentahydrate,"ghs07.png,ghs08.png,ghs09.png"
d-glucose monohydrate,ghs07.png
dodecyl alcohol,"ghs07.png,ghs09.png"
"ethanol, anhydrous",ghs02.png
glycine,ghs06.png
glycine,ghs06.png
graphite,
graphite,
graphite,
hexane,ghs07.png
hexane,ghs07.png
hexane,ghs07.png
hydrochloric acid solution,
hydrochloric acid solution,
iron powder,
iron powder,
iron(III) oxide,ghs07.png
paraffin wax,
silicon lumps,error.png
copper wire,
stoppers,
fd&c #1 blue dye,
fd&c #3 red dye,
sodium hypochlorite solution,ghs05.png
ammonium chloride solution,ghs07.png
ammonium hydroxide solution,"ghs05.png,ghs07.png"
polystyrene,
acetic acid solution,"ghs05.png,ghs07.png"
ammonium chloride buffer,
sodium acetate solution,
iron(III) nitrate solution,ghs07.png
lead foil,ghs08.png
lead nitrate solution,ghs08.png
magnesium metal ribbon,ghs02.png
magnesium nitrate solution,ghs07.png
potassium nitrate solution,"ghs03.png,ghs05.png"
silver foil,
silver nitrate solution,"ghs05.png,ghs09.png"
zinc metal strips,error.png
zinc nitrate solution,
